Date,ln std,ln std(-1),ln std(-2),ln VIX(-1),ln VIX(-2),R(-1),R(-2)
2003-07-14,2.78554,2.73023,2.86053,3.00618,2.98011,6.86408,6.27583
2003-08-13,2.63518,2.78554,2.73023,2.97502,3.00618,0.63961,6.86408
2003-09-15,2.31373,2.63518,2.78554,2.93226,2.97502,-1.97538,0.63961
2003-10-15,2.70824,2.31373,2.63518,2.95907,2.93226,3.12795,-1.97538
2003-11-14,2.38214,2.70824,2.31373,2.873,2.95907,3.14837,3.12795
2003-12-17,2.41104,2.38214,2.70824,2.82968,2.873,0.34296,3.14837
2004-01-21,2.14966,2.41104,2.38214,2.74599,2.82968,2.48774,0.34296
2004-02-23,2.40131,2.14966,2.41104,2.66305,2.74599,6.60858,2.48774
2004-03-24,2.55965,2.40131,2.14966,2.79055,2.66305,-0.57772,6.60858
2004-04-26,2.5106,2.55965,2.40131,2.98619,2.79055,-4.35236,-0.57772
2004-05-26,2.46945,2.5106,2.55965,2.6926,2.98619,4.0501,-4.35236
2004-06-29,2.23968,2.46945,2.5106,2.77071,2.6926,-1.81325,4.0501
2004-07-30,2.22764,2.23968,2.46945,2.7389,2.77071,1.90683,-1.81325
2004-08-31,2.55365,2.22764,2.23968,2.72916,2.7389,-3.03468,1.90683
2004-10-01,2.32226,2.55365,2.22764,2.7272,2.72916,0.22873,-3.03468
2004-11-02,2.37068,2.32226,2.55365,2.54553,2.7272,2.46867,0.22873
2004-12-03,2.34758,2.37068,2.32226,2.78378,2.54553,-0.08308,2.46867
2005-01-05,2.20417,2.34758,2.37068,2.56187,2.78378,5.36106,-0.08308
2005-02-07,2.24855,2.20417,2.34758,2.64547,2.56187,-0.62376,5.36106
2005-03-10,2.32106,2.24855,2.20417,2.46215,2.64547,1.51891,-0.62376
2005-04-12,2.25578,2.32106,2.24855,2.52493,2.46215,0.6266,1.51891
2005-05-12,2.72878,2.25578,2.32106,2.4248,2.52493,-1.77713,0.6266
